"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-27",,"67","73","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-28",,"67","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-29",,"68",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-11-30",,"68","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-01",,"67","77","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-02",,"69","75","54"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-03",,"66",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-04",,"67","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-05",,"68","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-06",,"68","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-07",,"65","70","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-08",,"68",,"59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-09",,"66","77",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-10",,"67","75","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-11",,"67","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-12",,"67","77","55"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-13",,"67","75","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-14",,"69","79",
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-15",,"68","75","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-16",,"67","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-17",,"69","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-18",,"67","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-19",,"67","75","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-20",,"66","73","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-21",,"71",,"64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-22",,"70","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-23",,"68","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-24",,"69","81","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-25",,"69","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-26",,"68","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-27",,"68","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-28",,"68","79","59"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-29",,"69","79","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-30",,"71","79","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1963-12-31",,"71","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-01",,"70","79",
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-02",,"70",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-03",,"72","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-04",,"71","82","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-05",,"68","81","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-06",,"70","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-07",,"70","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-08",,"71",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-09",,"68","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-10",,"71","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-11",,"69",,"63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-12",,"69","81","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-13",,"70","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-14",,"69","77","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-15",,"71","79","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-16",,"71","79","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-17",,"73","81","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-18",,"70","81","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-19",,"71","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-20",,"71","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-21",,"69","82","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-22",,"72","77","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-23",,"70","81","57"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-24",,"72","79","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-25",,"73","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-26",,"71","79","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-27",,"69","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-28",,"71","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-29",,"73",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-30",,"71","82","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-01-31",,"71","82","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-01",,"71","82","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-02",,"73","81","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-03",,"71","79","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-04",,"73",,"61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-05",,"71","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-06",,"71","77","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-07",,"72","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-08",,"72","81","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-09",,"73","82","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-10",,"71","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-11",,"73","81","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-12",,"74","84","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-13",,"72","81","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-14",,"73","84","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-15",,"70","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-16",,"72","79","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-18",,"72","81","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-22",,"70","79","61"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-23",,"71","82","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-24",,"72","84","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-25",,"73",,"66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-26",,"74","84","63"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-27",,"70","82","68"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-28",,"74","82","66"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-02-29",,"72","84","64"
"PEM00084691","PISCO INTERNATIONAL, PE","1964-03-01",,"71","84","66"
